Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Washington,07/17/2020,8,16.1,552,206865,3.9,7.8,266.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Carbon,04/24/2020,2,3.7,162,64182,3.1,5.8,252.4,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Monroe,03/17/2021,59,55.1,10559,170271,34.7,32.4,6201.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Clinton,06/16/2020,0,0.4,65,38632,0,1.1,168.3,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Centre,03/10/2020,0,0,0,162385,0,0,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Northampton,07/30/2020,12,18,3857,305285,3.9,5.9,1263.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Armstrong,06/06/2020,0,0.4,66,64735,0,0.7,102,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Venango,05/31/2020,0,0.1,12,50668,0,0.3,23.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Warren,01/09/2021,4,24.4,1761,39191,10.2,62.3,4493.4,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Lycoming,05/10/2021,28,23.6,11597,113299,24.7,20.8,10235.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Tioga,06/03/2020,0,0.4,19,40591,0,1.1,46.8,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Bedford,02/16/2021,5,5.9,3759,47888,10.4,12.2,7849.6,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Mercer,01/17/2021,23,49,7090,109424,21,44.8,6479.4,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Fulton,11/17/2020,12,7.3,183,14530,82.6,50.1,1259.5,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Armstrong,01/18/2021,34,37.9,4382,64735,52.5,58.5,6769.1,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Schuylkill,03/10/2020,0,0,0,141359,0,0,0,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Lycoming,01/05/2021,100,79.7,6558,113299,88.3,70.4,5788.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Montour,04/02/2020,0,1.7,15,18230,0,9.4,82.3,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Forest,08/17/2020,1,0.4,13,7247,13.8,5.9,179.4,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Mercer,03/07/2020,0,,0,109424,0,,0,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Cameron,07/03/2020,1,0.1,4,4447,22.5,3.2,89.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lycoming,09/05/2020,6,6.3,569,113299,5.3,5.5,502.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Blair,03/13/2020,0,0,0,121829,0,0,0,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Fulton,06/21/2020,0,0.1,18,14530,0,1,123.9,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Wayne,04/19/2020,1,2.3,77,51361,1.9,4.5,149.9,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
McKean,05/28/2021,14,5,3775,40625,34.5,12.3,9292.3,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Blair,07/25/2020,4,6.1,180,121829,3.3,5,147.7,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Warren,05/31/2020,0,0,3,39191,0,0,7.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Northampton,12/12/2020,293,273.7,12552,305285,96,89.7,4111.6,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Potter,12/17/2020,9,10.9,487,16526,54.5,65.7,2946.9,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Huntingdon,05/24/2021,1,3.4,5091,45144,2.2,7.6,11277.2,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Cumberland,03/24/2020,0,0.4,13,253370,0,0.2,5.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Washington,08/02/2020,8,11.1,771,206865,3.9,5.4,372.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Northampton,09/18/2020,15,21.1,4416,305285,4.9,6.9,1446.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lawrence,08/19/2020,2,3,436,85512,2.3,3.5,509.9,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Cameron,08/10/2020,0,0.1,7,4447,0,3.2,157.4,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Clinton,03/19/2021,18,8,2983,38632,46.6,20.7,7721.6,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Mifflin,03/05/2020,0,,0,46138,0,,0,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Berks,05/03/2020,63,60.9,2953,421164,15,14.4,701.2,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Wayne,08/26/2020,0,1,178,51361,0,1.9,346.6,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Greene,06/17/2020,0,0.4,34,36233,0,1.2,93.8,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Clinton,08/23/2020,0,0.3,132,38632,0,0.7,341.7,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Potter,03/24/2020,0,0.1,1,16526,0,0.9,6.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Butler,03/26/2021,51,49.7,15079,187853,27.1,26.5,8027,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Lycoming,01/15/2021,72,76.3,7399,113299,63.5,67.3,6530.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Forest,06/29/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Fulton,12/06/2020,4,18,398,14530,27.5,123.9,2739.2,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Somerset,01/31/2021,21,25.1,6347,73447,28.6,34.2,8641.6,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Fulton,06/10/2020,0,0,16,14530,0,0,110.1,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Wyoming,04/09/2021,17,19.6,1624,26794,63.4,73,6061.1,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Lycoming,05/06/2021,15,22,11489,113299,13.2,19.4,10140.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Wyoming,05/08/2021,5,5.3,1878,26794,18.7,19.7,7009,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Fulton,12/26/2020,7,10,655,14530,48.2,68.8,4507.9,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Sullivan,04/22/2020,0,0,1,6066,0,0,16.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Columbia,05/05/2020,4,3.4,312,64964,6.2,5.3,480.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Mercer,01/08/2021,66,64.3,6633,109424,60.3,58.7,6061.7,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lawrence,12/29/2020,62,48.7,4181,85512,72.5,57,4889.4,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Venango,04/15/2020,0,0.1,7,50668,0,0.3,13.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Fulton,11/15/2020,0,4.4,151,14530,0,30.5,1039.2,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Susquehanna,03/27/2020,0,0.1,1,40328,0,0.4,2.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Venango,10/15/2020,6,6,166,50668,11.8,11.8,327.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Cumberland,04/10/2020,10,7.6,108,253370,3.9,3,42.6,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cameron,04/05/2021,2,0.4,281,4447,45,9.6,6318.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lawrence,04/13/2020,0,3.1,53,85512,0,3.7,62,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
