measure,county,report_date,cases,deaths,cases_cum,death_cum,moving_avg_cases,moving_avg_deaths,antigen_cases,probable_deaths,antigen_cases_cum,probable_deaths_cum,total_cases,total_cases_cum,moving_avg_antigen_cases,moving_avg_probable_deaths,moving_avg_total_cases
state_total,Georgia,2020-07-18,4683,36,137696,3138,3622.71428571428,23.5714285714285,51,1,3715,87,4734,141411,182.142857142857,0.42857142857142,3804.85714285714
state_total,Georgia,2020-07-19,3143,5,140839,3143,3705.85714285714,23.7142857142857,29,0,3744,87,3172,144583,185.714285714285,0.28571428571428,3891.57142857142
state_total,Georgia,2020-07-20,2443,2,143282,3145,3540.14285714285,20.8571428571428,314,1,4058,88,2757,147340,205.285714285714,0.42857142857142,3745.42857142857
state_total,Georgia,2020-07-21,3531,73,146813,3218,3562.28571428571,27.2857142857142,190,0,4248,88,3721,151061,204.857142857142,0.28571428571428,3767.14285714285
state_total,Georgia,2020-07-22,3278,82,150091,3300,3493.71428571428,34,252,4,4500,92,3530,154591,193.285714285714,0.85714285714285,3687
state_total,Georgia,2020-07-23,4211,28,154302,3328,3609.28571428571,36,298,2,4798,94,4509,159100,197.714285714285,1.14285714285714,3807
state_total,Georgia,2020-07-24,4770,81,159072,3409,3722.71428571428,43.8571428571428,234,4,5032,98,5004,164104,195.428571428571,1.71428571428571,3918.14285714285
state_total,Georgia,2020-07-25,3753,52,162825,3461,3589.85714285714,46.1428571428571,50,0,5082,98,3803,167907,195.285714285714,1.57142857142857,3785.14285714285
state_total,Georgia,2020-07-26,2654,3,165479,3464,3520,45.8571428571428,71,1,5153,99,2725,170632,201.285714285714,1.71428571428571,3721.28571428571
state_total,Georgia,2020-07-27,2847,13,168326,3477,3577.71428571428,47.4285714285714,224,1,5377,100,3071,173703,188.428571428571,1.71428571428571,3766.14285714285
state_total,Georgia,2020-07-28,4220,54,172546,3531,3676.14285714285,44.7142857142857,167,12,5544,112,4387,178090,185.142857142857,3.42857142857142,3861.28571428571
state_total,Georgia,2020-07-29,3327,77,175873,3608,3683.14285714285,44,232,3,5776,115,3559,181649,182.285714285714,3.28571428571428,3865.42857142857
state_total,Georgia,2020-07-30,3960,26,179833,3634,3647.28571428571,43.7142857142857,211,0,5987,115,4171,185820,169.857142857142,3,3817.14285714285
state_total,Georgia,2020-07-31,4063,79,183896,3713,3546.28571428571,43.4285714285714,226,1,6213,116,4289,190109,168.714285714285,2.57142857142857,3715
state_total,Georgia,2020-08-01,3643,73,187539,3786,3530.57142857142,46.4285714285714,78,0,6291,116,3721,193830,172.714285714285,2.57142857142857,3703.28571428571
state_total,Georgia,2020-08-02,3131,15,190670,3801,3598.71428571428,48.1428571428571,22,0,6313,116,3153,196983,165.714285714285,2.42857142857142,3764.42857142857
state_total,Georgia,2020-08-03,2232,2,192902,3803,3510.85714285714,46.5714285714285,293,3,6606,119,2525,199508,175.571428571428,2.71428571428571,3686.42857142857
state_total,Georgia,2020-08-04,2526,80,195428,3883,3268.85714285714,50.2857142857142,203,0,6809,119,2729,202237,180.714285714285,1,3449.57142857142
state_total,Georgia,2020-08-05,3718,63,199146,3946,3324.71428571428,48.2857142857142,145,0,6954,119,3863,206100,168.285714285714,0.57142857142857,3493
state_total,Georgia,2020-08-06,3173,38,202319,3984,3212.28571428571,50,171,6,7125,125,3344,209444,162.571428571428,1.42857142857142,3374.85714285714
state_total,Georgia,2020-08-07,4017,87,206336,4071,3205.71428571428,51.1428571428571,150,1,7275,126,4167,213611,151.714285714285,1.42857142857142,3357.42857142857
state_total,Georgia,2020-08-08,4331,67,210667,4138,3304,50.2857142857142,47,1,7322,127,4378,217989,147.285714285714,1.57142857142857,3451.28571428571
state_total,Georgia,2020-08-09,3103,11,213770,4149,3300,49.7142857142857,31,0,7353,127,3134,221123,148.571428571428,1.57142857142857,3448.57142857142
state_total,Georgia,2020-08-10,2391,31,216161,4180,3322.71428571428,53.8571428571428,264,1,7617,128,2655,223778,144.428571428571,1.28571428571428,3467.14285714285
state_total,Georgia,2020-08-11,3498,130,219659,4310,3461.57142857142,61,220,5,7837,133,3718,227496,146.857142857142,2,3608.42857142857
state_total,Georgia,2020-08-12,3532,106,223191,4416,3435,67.1428571428571,214,4,8051,137,3746,231242,156.714285714285,2.57142857142857,3591.71428571428
state_total,Georgia,2020-08-13,2605,81,225796,4497,3353.85714285714,73.2857142857143,197,2,8248,139,2802,234044,160.428571428571,2,3514.28571428571
state_total,Georgia,2020-08-14,3152,33,228948,4530,3230.28571428571,65.5714285714285,175,3,8423,142,3327,237371,164,2.28571428571428,3394.28571428571
state_total,Georgia,2020-08-15,3239,96,232187,4626,3074.28571428571,69.7142857142857,83,3,8506,145,3322,240693,169.142857142857,2.57142857142857,3243.42857142857
state_total,Georgia,2020-08-16,1838,32,234025,4658,2893.57142857142,72.7142857142857,40,0,8546,145,1878,242571,170.428571428571,2.57142857142857,3064
state_total,Georgia,2020-08-17,1815,24,235840,4682,2811.28571428571,71.7142857142857,134,2,8680,147,1949,244520,151.857142857142,2.71428571428571,2963.14285714285
state_total,Georgia,2020-08-18,2795,66,238635,4748,2710.85714285714,62.5714285714285,411,2,9091,149,3206,247726,179.142857142857,2.28571428571428,2890
state_total,Georgia,2020-08-19,2333,54,240968,4802,2539.57142857142,55.1428571428571,153,2,9244,151,2486,250212,170.428571428571,2,2710
state_total,Georgia,2020-08-20,2754,61,243722,4863,2560.85714285714,52.2857142857142,172,1,9416,152,2926,253138,166.857142857142,1.85714285714285,2727.71428571428
state_total,Georgia,2020-08-21,2922,94,246644,4957,2528,61,428,1,9844,153,3350,256488,203,1.57142857142857,2731
state_total,Georgia,2020-08-22,2545,91,249189,5048,2428.85714285714,60.2857142857142,198,2,10042,155,2743,259231,219.428571428571,1.42857142857142,2648.28571428571
state_total,Georgia,2020-08-23,1719,41,250908,5089,2411.85714285714,61.5714285714285,88,1,10130,156,1807,261038,226.285714285714,1.57142857142857,2638.14285714285
state_total,Georgia,2020-08-24,2206,25,253114,5114,2467.71428571428,61.7142857142857,227,0,10357,156,2433,263471,239.571428571428,1.28571428571428,2707.28571428571
state_total,Georgia,2020-08-25,2175,103,255289,5217,2379.14285714285,67,295,1,10652,157,2470,265941,223,1.14285714285714,2602.14285714285
state_total,Georgia,2020-08-26,2277,46,257566,5263,2371.14285714285,65.8571428571428,309,2,10961,159,2586,268527,245.285714285714,1.14285714285714,2616.42857142857
state_total,Georgia,2020-08-27,2485,82,260051,5345,2332.71428571428,68.8571428571428,307,0,11268,159,2792,271319,264.571428571428,1,2597.28571428571
state_total,Georgia,2020-08-28,2326,77,262377,5422,2247.57142857142,66.4285714285714,332,2,11600,161,2658,273977,250.857142857142,1.14285714285714,2498.42857142857
state_total,Georgia,2020-08-29,2366,104,264743,5526,2222,68.2857142857143,175,0,11775,161,2541,276518,247.571428571428,0.85714285714285,2469.57142857142
state_total,Georgia,2020-08-30,1274,28,266017,5554,2158.42857142857,66.4285714285714,78,0,11853,161,1352,277870,246.142857142857,0.71428571428571,2404.57142857142
state_total,Georgia,2020-08-31,1496,28,267513,5582,2057,66.8571428571428,213,4,12066,165,1709,279579,244.142857142857,1.28571428571428,2301.14285714285
state_total,Georgia,2020-09-01,2229,103,269742,5685,2064.71428571428,66.8571428571428,268,1,12334,166,2497,282076,240.285714285714,1.28571428571428,2305
state_total,Georgia,2020-09-02,1968,64,271710,5749,2020.57142857142,69.4285714285714,400,0,12734,166,2368,284444,253.285714285714,1,2273.85714285714
state_total,Georgia,2020-09-03,2663,74,274373,5823,2046,68.2857142857143,286,0,13020,166,2949,287393,250.285714285714,1,2296.28571428571
state_total,Georgia,2020-09-04,2028,64,276401,5887,2003.42857142857,66.4285714285714,243,1,13263,167,2271,289664,237.571428571428,0.85714285714285,2241
state_total,Georgia,2020-09-05,2178,48,278579,5935,1976.57142857142,58.4285714285714,75,1,13338,168,2253,291917,223.285714285714,1,2199.85714285714
